Read input file. Dedected 134 training Configurations.
         5363383 function calls (5293827 primitive calls) in 6.569 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.006    0.000 enum.py:483(_create_)
    72/22    0.000    0.000    0.006    0.000 pyparsing.py:3743(leaveWhitespace)
       17    0.000    0.000    0.006    0.000 rcsetup.py:710(validate_cycler)
        1    0.000    0.000    0.006    0.006 _mathtext.py:1(<module>)
      942    0.001    0.000    0.006    0.000 pyparsing.py:1167(copy)
        2    0.000    0.000    0.006    0.003 __init__.py:299(loads)
        2    0.000    0.000    0.006    0.003 decoder.py:332(decode)
        1    0.000    0.000    0.006    0.006 cm.py:39(_gen_cmap_registry)
        2    0.002    0.001    0.006    0.003 decoder.py:343(raw_decode)
        1    0.000    0.000    0.006    0.006 _rotation_groups.py:1(<module>)
    26501    0.005    0.000    0.005    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.005    0.005 socket.py:1(<module>)
     2184    0.003    0.000    0.005    0.000 inspect.py:653(_findclass)
      316    0.001    0.000    0.005    0.000 sre_compile.py:536(_compile_info)
      649    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
       47    0.000    0.000    0.005    0.000 __init__.py:1294(_add_data_doc)
       28    0.002    0.000    0.005    0.000 enum.py:180(__new__)
      404    0.002    0.000    0.005    0.000 __init__.py:691(add)
   133/99    0.000    0.000    0.005    0.000 typing.py:401(__getitem__)
        7    0.000    0.000    0.005    0.001 enum.py:536(_convert_)
     1552    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.005    0.005 parser.py:1(<module>)
     6420    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x14c4b63fb800}
     1612    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:100(acquire)
        1    0.000    0.000    0.005    0.005 _geometric_slerp.py:1(<module>)
    43464    0.005    0.000    0.005    0.000 {method 'pop' of 'list' objects}
    44315    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.005    0.005 category.py:1(<module>)
      948    0.001    0.000    0.005    0.000 {built-in method builtins.any}
      226    0.001    0.000    0.005    0.000 typing.py:1016(__init__)
        1    0.000    0.000    0.005    0.005 feedparser.py:1(<module>)
        2    0.000    0.000    0.005    0.002 _compat.py:1(<module>)
       16    0.000    0.000    0.005    0.000 __init__.py:1440(get_metadata_lines)
        1    0.000    0.000    0.005    0.005 _root.py:1(<module>)
        7    0.000    0.000    0.005    0.001 pyparsing.py:1608(parseString)
  262/130    0.000    0.000    0.005    0.000 pyparsing.py:3363(copy)
     1680    0.005    0.000    0.005    0.000 _spherical_bessel.py:182(spherical_in)
   122/22    0.000    0.000    0.005    0.000 pyparsing.py:3288(leaveWhitespace)
        1    0.000    0.000    0.005    0.005 _mathtext.py:1882(Parser)
       99    0.000    0.000    0.005    0.000 typing.py:483(Union)
        2    0.000    0.000    0.005    0.002 shape_base.py:1(<module>)
        1    0.000    0.000    0.004    0.004 pyprojecttoml.py:1(<module>)
        1    0.000    0.000    0.004    0.004 distance.py:1(<module>)
       53    0.000    0.000    0.004    0.000 traceback.py:216(extract_stack)
      903    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       16    0.000    0.000    0.004    0.000 __init__.py:1427(get_metadata)
    30581    0.004    0.000    0.004    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.004    0.004 _mathtext.py:2467(<lambda>)
        1    0.000    0.000    0.004    0.004 _mathtext.py:2467(<listcomp>)
        1    0.000    0.000    0.004    0.004 _pslinux.py:1(<module>)
       28    0.002    0.000    0.004    0.000 util.py:182(_collapse_string_to_ranges)
       53    0.001    0.000    0.004    0.000 traceback.py:338(extract)
        1    0.000    0.000    0.004    0.004 pydoc.py:1(<module>)
